Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
Inflation forecast,,,,,,,,,,,,,,,,,
"%, year-to-year",,,,,,,,,,,,,,,,,
Category,Lithuania,France,Latvia,Finland,Ireland,Belgium,Luxembourg,Italy,Germany,Netherlands,Portugal,Greece,Estonia,Austria,Slovak Rep.,Spain,Slovenia
2013-01-01 00:00:00,"1,16418637054276","0,9898221201515","0,0109323623153173","2,21558484037288","0,529189416211714","1,24813377127496","1,69921358004656","1,24460248920499","1,6065292096221","2,56216383413802","0,440110531576355","-0,854122348998115","3,24659596186774","2,11758562165456","1,46382935739642","1,52978593066917","1,92978003384128"
2014-01-01 00:00:00,"0,242271377129908","0,610897129286881","0,690345256714125","1,20925297471243","0,300802139037079","0,49040260199875","0,695196594543697","0,234152868372754","0,769425889912793","0,318343274579392","-0,159719028306314","-1,39381034426691","0,475907198096643","1,46086185735722","-0,102043355981986","-0,190098355236312","0,366032818452268"
2015-01-01 00:00:00,"-0,677051432733864","0,086741119461009","0,212948967406218","-0,155590870893522","-0,0333222259243012","0,619654536307482","0,0583668942980871","0,108459869847868","0,679644235610214","0,212112102080957","0,50756319413032","-1,09372038012351","0,067545593275359","0,804757984576839","-0,343813842244253","-0,629347466048028","-0,763301963248871"
2016-01-01 00:00:00,"0,678333333333003","0,304997458354297","0,0991650139160027","0,389166666666996","-0,208333333333454","1,77001475012299","0,038333013891001","-0,0500041670137952","0,366697224769008","0,104164930585005","0,635833333333282","0,0133331111149992","0,799999999999002","0,97083333333301","-0,481666666666403","-0,336666666666896","-0,153334611122114"
2017-01-01 00:00:00,"3,71811213932226","1,16227869764985","2,89374880329052","0,839233981090267","0,258872651357109","2,22398729150059","2,10917390688728","1,32577336779786","1,70223366270875","1,29363090728939","1,55594014723099","1,13816260894168","3,65079365079467","2,23084223992077","1,39086600458851","2,03602127161468","1,55656637315961"
2018-01-01 00:00:00,"2,53140312514933","2,09910812542089","2,55426911656444","1,16893593901741","0,716308512410441","2,31097653778082","2,01584284420617","1,24259381171763","1,93500979751722","1,60090729037431","1,16762609872638","0,774401898109123","3,41213629402756","2,11999870830303","2,53297324975397","1,7356245544165","1,9337606837599"
2019-01-01 00:00:00,"2,24240726038667","1,29824166277923","2,74705334742929","1,13671499943076","0,876612636453573","1,24878644577478","1,64974010395825","0,633991709340232","1,35362434921968","2,67574759967327","0,299821074519787","0,517478172721752","2,26834497971586","1,4909798093184","2,77164720096755","0,779708253791171","1,6922915675666"
2020-01-01 00:00:00,"1,06197519774055","0,524075721000862","0,0806228692518359","0,382959893800394","-0,459091654369688","0,427624710984978","0,00393350798228399","-0,145384056215414","0,371424055633933","1,11236282565327","-0,121337768992915","-1,2622298852444","-0,634262227083064","1,38806667705249","2,01424865390128","-0,337284301892786","-0,275108616369613"
2021-01-01 00:00:00,"4,62509604230414","2,06641600050542","3,23919564833808","2,06618525138117","2,4213473892278","3,22240359738802","3,47393760128299","1,94127638922522","3,21234548460808","2,8266679132675","0,941308982662813","0,574111445162775","4,48715029524752","2,75886971619984","2,81958497552998","3,00813986126114","2,04714393608084"
2022-01-01 00:00:00,"18,8575460423059","5,90579822307583","17,2447106559755","7,17163071559226","8,06529430685121","10,3344099897804","8,15606611218407","8,7360152344681","8,66580212068064","11,6353607067903","8,10265811182405","9,29960197212053","19,4470675402786","8,61812445328392","12,1264878839743","8,32256356756991","9,32143970084199"
2023-01-01 00:00:00,"8,68517015415066","5,664155273512","9,05760356758228","4,34049911537873","5,20127985479301","2,28177755543621","2,92488507093043","5,90338587072734","6,03018603141589","4,0961631118588","5,26428323729012","4,15489633003947","9,11589777891654","7,70856277518747","10,9836065624741","3,40027023855133","7,21824335937154"
2024-01-01 00:00:00,"1,76017397861222","2,2715637500529","1,73382077100138","1,1064059270774","2,02088781590838","3,64827579077524","2,33069189130367","1,10197569118067","2,41188997662358","2,77805040241045","2,40329700310412","2,96219109118087","3,92826480487436","3,72737548010872","2,92833951268893","3,03761918121752","3,26316280577034"
2025-01-01 00:00:00,"2,63065030981211","2,04277586623486","2,35807127714049","1,78446737186707","2,00942498627072","1,85636245449553","2,98356266223278","2,02764840437598","2,16122172531235","2,32514626339795","2,03985186780023","2,26033831746004","2,06598141597771","2,90053877172965","3,2738130351981","2,26882513743115","3,4530527602694"
