ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FIN,Finland,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),26417.30078125,29712.3671875,30395.44140625,30171.87890625,33443.75390625,36169.1953125,36821.09375,37139,37210.40234375,40042.9765625,44111.265625,48514.75,49507.00390625,50012.0625,51600.265625,54807.4140625,56494.75,58193.5234375,61352.08984375,67506.8203125,72684.34375,74131.609375,79124.9140625,84603.203125,87689.28125,85237.5546875,85164.7421875,85665.3515625,89029.0859375,96035.4140625,101927.25,103646.78125,104751.0234375,106291.3515625,109170.53125,110105.7109375,117056.2578125,122715.390625,132027.28125,137295.125,137362.796875,125706.765625,121092.5078125,120787.65625,128848.359375,144156.3125,144044.421875,156974.546875,169841.5,178332.8125,186505.8125,187857.640625,187059.53125,190640.140625,199610.734375,213170.40625,217650.234375,236703.1875,245778.21875,225346.1875,233241.90625,237577.96875,235399.5625,225320.1875,224687.3125,228346.40625,234079.3125,241547.703125,244091.6875,248551.546875
FRA,France,pop,Population (in millions),42.5499134699338,42.8943363021612,43.2163002613892,43.5279949076191,43.8547881162682,44.2513706598314,44.6911721225217,45.1864736864636,45.6884064015868,46.1636007270301,46.6193024457193,47.1637249205709,48.1251196790313,48.8359737410451,49.3943495017733,49.8395681225098,50.2930556398835,50.6887944963936,51.0730920402438,51.5092858818251,51.957738,52.371342,52.793138,53.207734,53.592233,53.93139,54.220022,54.467702,54.691851,54.917118,55.161527,55.430296,55.718933,56.02377,56.337666,56.654696,56.976123,57.302663,57.627105,57.940212,58.235697,58.512369,58.773365,59.022519,59.265653,59.508484,59.748767,59.988873,60.244337,60.535179,60.874357,61.269223,61.712083,62.182111,62.649664,63.092888,63.503047,63.884679,64.245428,64.598474,64.952503,65.310392,65.665818,66.007876,66.32139,66.596315,66.828164,67.022411,67.191027,67.351247
FRA,France,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),325814.25,340745.46875,352123.90625,368956.28125,389500.40625,411099.71875,432224.9375,456653.21875,471060,487047.125,528044.25,554088.1875,590606.125,628363.0625,671762.75,703565.125,741323.75,778854.875,812868.8125,871884.9375,923051.75,978572,1034177.5625,1111650.75,1136920.75,1141212.375,1197934.125,1243073.5,1310636.875,1364233.625,1376370,1334463,1334384.25,1321127.625,1303934.5,1296068.25,1355866.375,1392626.25,1469952.75,1533447.75,1581529.625,1592352.75,1617568.5,1603544.125,1643756.5,1677481.625,1708607.125,1814682.125,1943271.875,2030947,2135621.25,2198350.5,2213269.5,2144512.5,2197558.25,2312443,2413424.25,2537276,2568201.25,2519388,2613960.75,2680534.25,2716635.75,2706556,2701232.75,2772463.25,2819433.25,2922007,2965537.75,3018884.75
FRA,France,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),324868.6875,342548.1875,352087.40625,366107.40625,386715.5625,407777.6875,428428.78125,452271.96875,466216.03125,479286.65625,519088.40625,544624,581668.375,618581.3125,659605.875,690574.625,728002.9375,764380.5625,797234.125,853973.25,905887.25,959781.25,1010713.75,1083912.875,1135803,1131990.125,1187701.5,1237459.25,1295256.25,1350101.5,1377955.5,1350791.625,1348468.625,1329259.5,1315406.5,1294101,1365869.875,1406153.625,1477762.25,1532214.375,1581094.75,1586835.25,1615930,1612599,1645412.25,1682645,1720381.5,1819024.125,1921072.875,2011288.125,2128715.25,2185648.25,2197271.75,2144133.75,2188098.25,2372596.75,2432615.5,2546277.75,2568574.25,2487517.5,2591608.5,2665867.25,2701083,2675257,2680612.5,2730343.75,2765765.25,2869816.5,2902140.75,2946958.25
GRC,Greece,pop,Population (in millions),,7.53401679443472,7.61958857731332,7.70220090912648,7.77739652487059,7.84846234622429,7.91297452685537,7.97722172409212,8.05300227658435,8.13678495172249,8.20501065850395,8.27461766170267,8.32406243549638,8.35499313901154,8.38534501355184,8.42466215960043,8.48704977478971,8.58832887121327,8.61229483388162,8.6438240991776,8.663571,8.716873,8.774514,8.840315,8.919244,9.014085,9.127049,9.254978,9.388728,9.515746,9.627002,9.719841,9.796829,9.860739,9.916482,9.968238,10.015119,10.057297,10.101352,10.155723,10.225992,10.315107,10.420236,10.533815,10.644949,10.745503,10.832141,10.906257,10.970121,11.0279,11.082104,11.134457,11.182305,11.218884,11.234992,11.224791,11.185228,11.120358,11.040309,10.959272,10.887637,10.829079,10.781125,10.7405,10.701456,10.65975,10.615185,10.56945,10.522246,10.473455
GRC,Greece,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),,27866.439453125,27284.544921875,30582.951171875,31201.287109375,33540.5703125,36508.88671875,39206.93359375,41333.40234375,42845.265625,43583.5703125,49677.05078125,48991.15625,55401.79296875,59468.2734375,65921.3828125,71372.828125,75421.21875,80244.4765625,89619.8671875,97693.8359375,105198.3046875,115594.8515625,124461.40625,115193.6953125,120608.4921875,128672.2734375,132502.578125,142195.515625,145471.015625,146225.25,147638.046875,143356.265625,142656.265625,145004.078125,149934.3125,157058.453125,156567.140625,168838.859375,176958.328125,181332.359375,193430.4375,198890.5625,201528.140625,212694.46875,223337.640625,232633.46875,252283.125,269264.8125,274464.78125,281180.59375,293539.40625,308082.53125,319420.84375,340496.40625,338297.6875,369233.0625,379983.28125,390628.34375,380753.84375,347717.28125,314638.8125,299430.71875,294988.53125,294032.5625,294728.59375,290349.375,295748.25,297786.65625,302222.28125
GRC,Greece,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),,28382.45703125,27776.455078125,31562.30078125,32225.15625,34448.26171875,37509.41015625,40426.3046875,42421.1328125,44114.2578125,44976.6484375,51181.0078125,50332.3046875,56826.08203125,60928.234375,67527.59375,72821.421875,76522.28125,81596.9609375,90865.953125,99292.140625,107107.8671875,117832.921875,126495.140625,118751.2421875,125681.328125,133812.859375,136359.28125,146023.390625,149153.40625,151922.53125,152191.125,147360.828125,145494.203125,148956.21875,154543.28125,160981.109375,159643.96875,171204.875,179566.640625,181550.15625,192950.890625,196230.21875,200895.09375,211749.578125,219416.640625,226501.109375,247353.0625,261940.765625,267494.65625,281011.96875,291715.15625,303662.78125,305441.6875,319653.59375,326492.3125,351992.5,352220.4375,362663.5,350892.5,324407.4375,294014.78125,281534.375,281881.125,278412.3125,280679.0625,274068.90625,279853.40625,279920.59375,284893.625
IRL,Ireland,pop,Population (in millions),2.92115649030631,2.91750192969056,2.91044807298368,2.90567138268054,2.89527840273547,2.87493386713375,2.85434887517044,2.8375566533445,2.811235731184,2.80287452522674,2.79198958519878,2.77848313021408,2.79001774901371,2.80973517066361,2.82353755385871,2.83536786581853,2.84325497550861,2.85912744587524,2.87135217208211,2.88426724074644,2.908421,2.944088,2.986566,3.034319,3.085156,3.137176,3.189865,3.242768,3.294161,3.342005,3.384756,3.422018,3.453786,3.479458,3.49853,3.510979,3.516422,3.515828,3.512185,3.509519,3.510885,3.51771,3.529853,3.546931,3.567912,3.592186,3.619641,3.651096,3.687819,3.731468,3.783103,3.842245,3.907998,3.980076,4.05813,4.141223,4.230623,4.324641,4.415872,4.494576,4.554321,4.591105,4.608198,4.615422,4.626844,4.652425,4.695779,4.753279,4.81869,4.882495
IRL,Ireland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),16315.0185546875,15847.853515625,16956.744140625,17826.904296875,18022.248046875,18308.0859375,18015.076171875,17944.263671875,17944.876953125,18911.978515625,19725.814453125,20698.919921875,21316.13671875,22303.986328125,23373.365234375,23711.126953125,24323.130859375,25973.80859375,27782.6796875,29369.35546875,29828.33203125,31165.798828125,34152.22265625,36753.8515625,34886.953125,36229.12109375,38296.3671875,41804.5078125,46228.296875,47991.859375,48691.7109375,49208.90625,50535.80859375,50555.9375,51632.36328125,52432.7578125,53904.81640625,56140.3046875,59272.97265625,64281.6015625,68907.8515625,69983.9375,72318.1484375,76302.0234375,81572.1875,92129.5,99822.8671875,112477.7734375,127163.40625,137736.265625,150186.8125,158361.75,167525.015625,172128.21875,181199.28125,195509.59375,216764.765625,236843.109375,222934.859375,208812.234375,216919.953125,223861.890625,234566.34375,233695.546875,251472.1875,351605.625,381200.375,409848.0625,435129.8125,499741.09375
IRL,Ireland,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),15888.3115234375,16082.861328125,16700.966796875,17078.025390625,17292.78515625,17703.337890625,17495.466796875,17412.7421875,17109.248046875,17810.45703125,18698.357421875,19557.767578125,20047.818359375,20977.1875,21611.76171875,21925.669921875,22281.962890625,23618.990234375,25439.865234375,26681.33984375,27086.568359375,28017.888671875,30187.345703125,31937.984375,32746.623046875,34330.62109375,35866.09765625,39447.48046875,43227.74609375,45533.5625,47606.5859375,48377.01171875,48912.79296875,47985.953125,49034.8984375,49128.5390625,52158.55078125,55766.421875,58078.17578125,61899.38671875,66850.1640625,67969.078125,72634.8828125,77008.671875,80825.2421875,92206.9140625,99518.7265625,111502.5625,122571.4296875,134600.015625,150364.546875,161672.5625,181303.34375,198060.453125,209840.546875,231393.453125,238354,260283.015625,248413.34375,237668.078125,241319.515625,246609.625,250748.765625,250350.484375,270237.5625,353539,381243.1875,412625.75,441620.21875,501053.59375
