"","shadow","shadow_d"
"1995-03-31",0.0526840705080847,NA
"1995-06-30",0.0436526884271053,-0.00903138208097931
"1995-09-30",0.0403998136179069,-0.00325287480919845
"1995-12-31",0.0343549346475955,-0.00604487897031136
"1996-03-31",0.029264284879305,-0.00509064976829054
"1996-06-30",0.0285830123554254,-0.000681272523879617
"1996-09-30",0.0288529957168451,0.000269983361419701
"1996-12-31",0.0266101696579015,-0.00224282605894355
"1997-03-31",0.0268251856528312,0.000215015994929679
"1997-06-30",0.0274597550047491,0.000634569351917857
"1997-09-30",0.0300011492263466,0.00254139422159749
"1997-12-31",0.0359580269552566,0.00595687772891007
"1998-03-31",0.0339058644131671,-0.00205216254208951
"1998-06-30",0.0354243225103923,0.00151845809722517
"1998-09-30",0.0332230398983424,-0.00220128261204988
"1998-12-31",0.0307879273378155,-0.00243511256052686
"1999-03-31",0.0264543399431783,-0.00433358739463729
"1999-06-30",0.0227159463531343,-0.00373839359004391
"1999-09-30",0.0259673357383645,0.00325138938523017
"1999-12-31",0.0314159327566363,0.00544859701827183
"2000-03-31",0.0357149820552463,0.00429904929860991
"2000-06-30",0.042501719898123,0.00678673784287676
"2000-09-30",0.0483058085672501,0.00580408866912707
"2000-12-31",0.0480695063588459,-0.000236302208404204
"2001-03-31",0.0434865336479724,-0.00458297271087349
"2001-06-30",0.0420425717644084,-0.00144396188356399
"2001-09-30",0.0386221512886264,-0.00342042047578195
"2001-12-31",0.0304169817120279,-0.00820516957659856
"2002-03-31",0.0330063882946956,0.00258940658266771
"2002-06-30",0.0350106135682102,0.00200422527351463
"2002-09-30",0.0314235218826211,-0.00358709168558913
"2002-12-31",0.0269464124319292,-0.00447710945069191
"2003-03-31",0.0219329690604468,-0.00501344337148235
"2003-06-30",0.0187464229970646,-0.0031865460633822
"2003-09-30",0.018197758112855,-0.000548664884209682
"2003-12-31",0.0193775325324801,0.00117977441962513
"2004-03-31",0.0172990207414621,-0.00207851179101803
"2004-06-30",0.0184495568662777,0.00115053612481564
"2004-09-30",0.0190728527092709,0.000623295842993254
"2004-12-31",0.0188633830206815,-0.000209469688589481
"2005-03-31",0.019582949357398,0.000719566336716548
"2005-06-30",0.0184415250586136,-0.00114142429878439
"2005-09-30",0.018779918696145,0.000338393637531409
"2005-12-31",0.0226462294735759,0.00386631077743083
"2006-03-31",0.0261659438947621,0.00351971442118626
"2006-06-30",0.0290283453533478,0.00286240145858563
"2006-09-30",0.0321818098207882,0.00315346446744047
"2006-12-31",0.0354122648338986,0.00323045501311037
"2007-03-31",0.0380158887006496,0.00260362386675106
"2007-06-30",0.0408262799126109,0.00281039121196125
"2007-09-30",0.0406187233198034,-0.000207556592807467
"2007-12-31",0.0385371899459517,-0.00208153337385175
"2008-03-31",0.0351815662546671,-0.00335562369128461
"2008-06-30",0.0393317571116958,0.00415019085702872
"2008-09-30",0.0418540583733129,0.00252230126161712
"2008-12-31",0.0225001759049179,-0.019353882468395
"2009-03-31",0.00911829545929943,-0.0133818804456185
"2009-06-30",0.00598161414072118,-0.00313668131857825
"2009-09-30",0.00388342948396336,-0.00209818465675782
"2009-12-31",0.00384585849364916,-3.75709903142063e-05
"2010-03-31",0.00276159317674995,-0.0010842653168992
"2010-06-30",0.00201700252247594,-0.000744590654274013
"2010-09-30",0.00344588488942454,0.0014288823669486
"2010-12-31",0.00612531555664275,0.00267943066721821
"2011-03-31",0.00827073563234948,0.00214542007570673
"2011-06-30",0.0118997625830195,0.00362902695067002
"2011-09-30",0.00718961070821678,-0.00471015187480273
"2011-12-31",0.0031168360050251,-0.00407277470319167
"2012-03-31",-0.00164810858082254,-0.00476494458584764
"2012-06-30",-0.00391220190446706,-0.00226409332364452
"2012-09-30",-0.0114743482082016,-0.00756214630373453
"2012-12-31",-0.0156939083612401,-0.00421956015303848
"2013-03-31",-0.0135391594964598,0.00215474886478029
"2013-06-30",-0.0167580043656025,-0.0032188448691427
"2013-09-30",-0.00907613641769822,0.00768186794790426
"2013-12-31",-0.0122632202915768,-0.00318708387387856
"2014-03-31",-0.0150934566485291,-0.00283023635695234
"2014-06-30",-0.0192438559166539,-0.00415039926812477
"2014-09-30",-0.0278955647174535,-0.00865170880079957
"2014-12-31",-0.0378912189909764,-0.00999565427352289
"2015-03-31",-0.044559148530439,-0.0066679295394626
"2015-06-30",-0.0378491749958733,0.00670997353456571
"2015-09-30",-0.0270814947109613,0.0107676802849119
"2015-12-31",-0.0354046397980838,-0.00832314508712251
"2016-03-31",-0.0447486792362217,-0.00934403943813789
"2016-06-30",-0.0572888051690541,-0.0125401259328324
"2016-09-30",-0.0702573492625982,-0.0129685440935441
"2016-12-31",-0.0733675415857051,-0.00311019232310694
"2017-03-31",-0.0609430416271181,0.0124244999585871
"2017-06-30",-0.0529856921557413,0.00795734947137672
"2017-09-30",-0.0471782705317666,0.00580742162397474
"2017-12-31",-0.0467006371826462,0.000477633349120432
"2018-03-31",-0.0312789652367159,0.0154216719459302
"2018-06-30",-0.0257149513710594,0.00556401386565653
"2018-09-30",-0.0308546370084358,-0.00513968563737643
"2018-12-31",-0.0274580617494616,0.00339657525897419
"2019-03-31",-0.0353802147474762,-0.00792215299801458
"2019-06-30",-0.0487955748093094,-0.0134153600618332
"2019-09-30",-0.0627750024761102,-0.0139794276668008
