"","date","ns","ns_d","new_shadow_mps"
"1",1999-03-31,0.0264543399431783,-0.00433358739463729,NA
"2",1999-06-30,0.0227159463531343,-0.00373839359004391,-0.111209859291987
"3",1999-09-30,0.0259673357383645,0.00325138938523017,-0.512227050143615
"4",1999-12-31,0.0314159327566363,0.00544859701827183,0.275556947697869
"5",2000-03-31,0.0357149820552463,0.00429904929860991,-0.426609759877347
"6",2000-06-30,0.042501719898123,0.00678673784287676,0.632549492567975
"7",2000-09-30,0.0483058085672501,0.00580408866912707,0.248883130889668
"8",2000-12-31,0.0480695063588459,-0.000236302208404204,-0.229700039139324
"9",2001-03-31,0.0434865336479724,-0.00458297271087349,-3.50983144655826
"10",2001-06-30,0.0420425717644084,-0.00144396188356399,1.08101767758216
"11",2001-09-30,0.0386221512886264,-0.00342042047578195,0.0488892821897481
"12",2001-12-31,0.0304169817120279,-0.00820516957659856,-0.410713602873589
"13",2002-03-31,0.0330063882946956,0.00258940658266771,0.776588338580003
"14",2002-06-30,0.0350106135682102,0.00200422527351463,0.305610578248082
"15",2002-09-30,0.0314235218826211,-0.00358709168558913,-0.595763012069984
"16",2002-12-31,0.0269464124319292,-0.00447710945069191,-0.265594215862678
"17",2003-03-31,0.0219329690604468,-0.00501344337148235,0.196422007504803
"18",2003-06-30,0.0187464229970646,-0.0031865460633822,0.507168193347841
"19",2003-09-30,0.018197758112855,-0.000548664884209682,-0.373142737008606
"20",2003-12-31,0.0193775325324801,0.00117977441962513,0.0969487985486743
"21",2004-03-31,0.0172990207414621,-0.00207851179101803,-0.353896786693172
"22",2004-06-30,0.0184495568662777,0.00115053612481564,0.100688423164197
"23",2004-09-30,0.0190728527092709,0.000623295842993254,0.516547658215982
"24",2004-12-31,0.0188633830206815,-0.000209469688589481,-0.210635957880582
"25",2005-03-31,0.019582949357398,0.000719566336716548,0.42455825160636
"26",2005-06-30,0.0184415250586136,-0.00114142429878439,-0.302932002379517
"27",2005-09-30,0.018779918696145,0.000338393637531409,-0.33752061407652
"28",2005-12-31,0.0226462294735759,0.00386631077743083,0.563853296810755
"29",2006-03-31,0.0261659438947621,0.00351971442118626,0.109955464748423
"30",2006-06-30,0.0290283453533478,0.00286240145858563,-0.572399357535652
"31",2006-09-30,0.0321818098207882,0.00315346446744047,0.653546955063337
"32",2006-12-31,0.0354122648338986,0.00323045501311037,-0.401927368356456
"33",2007-03-31,0.0380158887006496,0.00260362386675106,-0.161547267170265
"34",2007-06-30,0.0408262799126109,0.00281039121196125,0.147788158629339
"35",2007-09-30,0.0406187233198034,-0.000207556592807467,-0.0113985674226893
"36",2007-12-31,0.0385371899459517,-0.00208153337385175,-0.751477140850609
"37",2008-03-31,0.0351815662546671,-0.00335562369128461,-0.721799458971011
"38",2008-06-30,0.0393317571116958,0.00415019085702872,2.12749590888531
"39",2008-09-30,0.0418540583733129,0.00252230126161712,1.47869230241778
"40",2008-12-31,0.0225001759049179,-0.019353882468395,-0.132790837199787
"41",2009-03-31,0.00911829545929943,-0.0133818804456185,1.7778322934049
"42",2009-06-30,0.00598161414072118,-0.00313668131857825,-0.588051319601619
"43",2009-09-30,0.00388342948396336,-0.00209818465675782,0.0512220998810616
"44",2009-12-31,0.00384585849364916,-3.75709903142063e-05,-0.196644657752048
"45",2010-03-31,0.00276159317674995,-0.0010842653168992,-0.171533180808944
"46",2010-06-30,0.00201700252247594,-0.000744590654274013,-0.381860713380979
"47",2010-09-30,0.00344588488942454,0.0014288823669486,0.428538570579201
"48",2010-12-31,0.00612531555664275,0.00267943066721821,-0.256382432565144
"49",2011-03-31,0.00827073563234948,0.00214542007570673,-0.443794462744702
"50",2011-06-30,0.0118997625830195,0.00362902695067002,1.53692417113035
"51",2011-09-30,0.00718961070821678,-0.00471015187480273,-0.5015495961796
"52",2011-12-31,0.0031168360050251,-0.00407277470319167,0.138480626341016
"53",2012-03-31,-0.00164810858082254,-0.00476494458584764,0.0882387364517658
"54",2012-06-30,-0.00391220190446706,-0.00226409332364452,1.12942415631235
"55",2012-09-30,-0.0114743482082016,-0.00756214630373453,-0.76945805857073
"56",2012-12-31,-0.0156939083612401,-0.00421956015303848,0.578414835722998
"57",2013-03-31,-0.0135391594964598,0.00215474886478029,1.36266000528857
"58",2013-06-30,-0.0167580043656025,-0.0032188448691427,-0.620522192455789
"59",2013-09-30,-0.00907613641769822,0.00768186794790426,1.4267288974649
"60",2013-12-31,-0.0122632202915768,-0.00318708387387856,-0.789792012371064
"61",2014-03-31,-0.0150934566485291,-0.00283023635695234,-0.214134450269001
"62",2014-06-30,-0.0192438559166539,-0.00415039926812477,0.0468203134031509
"63",2014-09-30,-0.0278955647174535,-0.00865170880079957,-1.23404857423139
"64",2014-12-31,-0.0378912189909764,-0.00999565427352289,-0.794003400937073
"65",2015-03-31,-0.044559148530439,-0.0066679295394626,-1.16282639361573
"66",2015-06-30,-0.0378491749958733,0.00670997353456571,1.28034972392712
"67",2015-09-30,-0.0270814947109613,0.0107676802849119,1.57206221119715
"68",2015-12-31,-0.0354046397980838,-0.00832314508712251,-1.70530164988955
"69",2016-03-31,-0.0447486792362217,-0.00934403943813789,-0.906262296979776
"70",2016-06-30,-0.0572888051690541,-0.0125401259328324,-1.4671550933223
"71",2016-09-30,-0.0702573492625982,-0.0129685440935441,-1.31875907628848
"72",2016-12-31,-0.0733675415857051,-0.00311019232310694,-0.0311729632252081
"73",2017-03-31,-0.0609430416271181,0.0124244999585871,1.83726585047559
"74",2017-06-30,-0.0529856921557413,0.00795734947137672,0.342936298041349
