"","Estonia"
"1996-03-01",0.0519471384250836
"1996-06-01",0.0341719213609415
"1996-09-01",0.011657515024819
"1996-12-01",0.0285111294189387
"1997-03-01",0.0264071435928619
"1997-06-01",0.0493908939941101
"1997-09-01",0.0268733602518319
"1997-12-01",0.0361367488535976
"1998-03-01",0.0395579179931505
"1998-06-01",0.0115114148860346
"1998-09-01",0.0108183490537462
"1998-12-01",0.0122776626199244
"1999-03-01",0.0108973643455595
"1999-06-01",0.00495280976486401
"1999-09-01",0.0119478321900973
"1999-12-01",0.0124788411036952
"2000-03-01",0.00431900169994023
"2000-06-01",0.00503714311600641
"2000-09-01",0.0296437872514741
"2000-12-01",0.0278937741149758
"2001-03-01",0.0152857970443768
"2001-06-01",0.0170327201600184
"2001-09-01",0.0127060605817452
"2001-12-01",0.0134765132156994
"2002-03-01",0.0141537283123333
"2002-06-01",0.0101142896243635
"2002-09-01",0.00300466857628664
"2002-12-01",0.00926620221479067
"2003-03-01",0.0122302016435275
"2003-06-01",-0.0127230410131943
"2003-09-01",0.0112233600130609
"2003-12-01",0.00376446619017699
"2004-03-01",0.00309961782292389
"2004-06-01",0.0352663918052072
"2004-09-01",0.00670977467299346
"2004-12-01",0.00870280833560028
"2005-03-01",0.017058641965895
"2005-06-01",0.0148872198015252
"2005-09-01",0.0155976666922158
"2005-12-01",0.00576266755991733
"2006-03-01",0.00727258306933006
"2006-06-01",0.0189857616383577
"2006-09-01",0.0212062440463405
"2006-12-01",0.0201242911224763
"2007-03-01",0.0187386287634558
"2007-06-01",0.0245515843263922
"2007-09-01",0.0366945013394853
"2007-12-01",0.0515463932872286
"2008-03-01",0.0355277900564038
"2008-06-01",0.0259326544664075
"2008-09-01",0.0277032463445321
"2008-12-01",0.0061371506706467
"2009-03-01",-0.0240433339991474
"2009-06-01",-0.0144479933386874
"2009-09-01",0.00804618095098674
"2009-12-01",0.0084232865347859
"2010-03-01",0.0138686304179128
"2010-06-01",0.0120653378298938
"2010-09-01",0.0207039462536965
"2010-12-01",0.0170419996162528
"2011-03-01",0.0228686910492789
"2011-06-01",0.00900249530557737
"2011-09-01",0.0142760304466093
"2011-12-01",0.0142719171992498
"2012-03-01",0.0172341737390953
"2012-06-01",0.00451726732899818
"2012-09-01",0.0174771901502572
"2012-12-01",0.0104336766714305
"2013-03-01",0.0183116880094984
"2013-06-01",0.00923433907423696
"2013-09-01",0.00304954775375075
"2013-12-01",-0.00164629577960424
"2014-03-01",0.00399325954428981
"2014-06-01",0.00319735763350037
"2014-09-01",-0.00263711857467111
"2014-12-01",-0.00591475433180547
"2015-03-01",0.0060553475810868
"2015-06-01",0.00662974866522337
"2015-09-01",-0.0124109570338385
"2015-12-01",0.00278667066361805
"2016-03-01",0.00963389024883239
"2016-06-01",0.00618833101924662
"2016-09-01",-0.00413053197035226
"2016-12-01",0.0118944817904195
"2017-03-01",0.0176647466997387
"2017-06-01",0.00577257432769044
"2017-09-01",0.0217366992180673
"2017-12-01",0.00508919638412403
"2018-03-01",0.0105145024149875
"2018-06-01",0.0201261264812598
"2018-09-01",0.0103602617843225
"2018-12-01",0.00662693570243336
"2019-03-01",-0.00644531390977462
"2019-06-01",0.0238272202285886
"2019-09-01",0.0102168234189536
"2019-12-01",-0.00177266203044538
"2020-03-01",-0.0152722096168315
"2020-06-01",-0.0112634953252334
"2020-09-01",0.00770258725167735
"2020-12-01",0.00745719322212366
"2021-03-01",0.00645139365820237
"2021-06-01",0.0264559140439486
"2021-09-01",0.0490055742375855
"2021-12-01",0.0660579420436271
"2022-03-01",0.0548066423506871
"2022-06-01",0.112112636175286
"2022-09-01",0.057948810462609
"2022-12-01",0.00464565078541469
"2023-03-01",0.017259550923911
"2023-06-01",0.0272597232897331
"2023-09-01",0.00705659009191239
"2023-12-01",0.00459426592504115
"2024-03-01",0.0162086596026325
"2024-06-01",0.0110014748780708
"2024-09-01",0.0121718551748601
"2024-12-01",0.0161408500808281
"2025-02-01",0.0258143737142279
