"","Slovenia"
"1996-03-01",0.0287124021240224
"1996-06-01",0.0258950077461206
"1996-09-01",0.00922974385186042
"1996-12-01",0.0344808828215476
"1997-03-01",0.026097528756098
"1997-06-01",0.0341235314540481
"1997-09-01",0.0237177466854151
"1997-12-01",0.0305898906664132
"1998-03-01",0.0330301209225924
"1998-06-01",0.0192580775720922
"1998-09-01",0.0111880824349447
"1998-12-01",0.0213524613148962
"1999-03-01",0.015456637648936
"1999-06-01",0.00719597041059517
"1999-09-01",0.0499868256780168
"1999-12-01",0.0311608649509121
"2000-03-01",0.0278710975032144
"2000-06-01",0.0177791633906776
"2000-09-01",0.040241379911715
"2000-12-01",0.0301346983808669
"2001-03-01",0.0292923847067221
"2001-06-01",0.0268038834369738
"2001-09-01",0.0213181237761469
"2001-12-01",0.014318842559241
"2002-03-01",0.0362751766256428
"2002-06-01",0.0166817920116112
"2002-09-01",0.0267914163168529
"2002-12-01",0.0145074443449484
"2003-03-01",0.027049724316531
"2003-06-01",0.0148005615149189
"2003-09-01",0.0120772781344422
"2003-12-01",0.0105549803514412
"2004-03-01",0.0112747286750365
"2004-06-01",0.0182125169025584
"2004-09-01",0.00414054905800829
"2004-12-01",0.00919848064604534
"2005-03-01",0.0117277475335987
"2005-06-01",-0.00256736159580582
"2005-09-01",0.0241991290063233
"2005-12-01",-0.000119065825787735
"2006-03-01",0.00428499293425733
"2006-06-01",0.0114739435111493
"2006-09-01",0.0164542071362061
"2006-12-01",0.00633364537298319
"2007-03-01",0.00206065350259606
"2007-06-01",0.024450376253632
"2007-09-01",0.0128847577353338
"2007-12-01",0.033093605358563
"2008-03-01",0.0131456901544272
"2008-06-01",0.0280843501756328
"2008-09-01",-0.0014728353330128
"2008-12-01",-0.0150884700063307
"2009-03-01",0.0106851127802796
"2009-06-01",0.00745720647023775
"2009-09-01",-0.00267116612402838
"2009-12-01",0.0124242683693459
"2010-03-01",0.00562227639047291
"2010-06-01",0.0127610571081162
"2010-09-01",-0.00400800468517633
"2010-12-01",0.0122310222995164
"2011-03-01",0.00997884826303517
"2011-06-01",0.000550492254990072
"2011-09-01",0.00495248151484279
"2011-12-01",0.0120562410093851
"2012-03-01",0.0145126113142361
"2012-06-01",0.00178120745072277
"2012-09-01",0.0206984043557165
"2012-12-01",0.00401928602135403
"2013-03-01",0.00426258707562742
"2013-06-01",0.00161098058960313
"2013-09-01",0.0127035433890483
"2013-12-01",-0.00409075946985768
"2014-03-01",-0.000620356324063252
"2014-06-01",0.00667737022869512
"2014-09-01",-0.00320808061895585
"2014-12-01",-0.00437432908390163
"2015-03-01",-0.00294726341039166
"2015-06-01",-0.00163235451028559
"2015-09-01",-0.00308750140369497
"2015-12-01",0.00197024149733137
"2016-03-01",-0.009191369884841
"2016-06-01",0.0103571104901924
"2016-09-01",-0.00173796488061137
"2016-12-01",0.00570076527238517
"2017-03-01",0.0112093033495461
"2017-06-01",-0.0031725617039513
"2017-09-01",0.00489014914376382
"2017-12-01",0.0135476490605242
"2018-03-01",0.0048619801428327
"2018-06-01",0.0074337882496768
"2018-09-01",0.00346735729557111
"2018-12-01",0.00272290867074506
"2019-03-01",0.00648086982695354
"2019-06-01",0.0127364824057583
"2019-09-01",0.0020408136006867
"2019-12-01",0.00395914303067029
"2020-03-01",-0.00910765940514634
"2020-06-01",-0.00769189283874791
"2020-09-01",0.00194658156761153
"2020-12-01",-0.00146526274323514
"2021-03-01",0.00711076696222311
"2021-06-01",0.0140017699655467
"2021-09-01",0.0165702587207811
"2021-12-01",0.0293258704086921
"2022-03-01",0.0180203337876032
"2022-06-01",0.0764548995446699
"2022-09-01",0.0137585127357991
"2022-12-01",0.0307597776808783
"2023-03-01",0.0141823591771663
"2023-06-01",0.0260520253117447
"2023-09-01",0.0189843756587328
"2023-12-01",-0.00923414889662681
"2024-03-01",0.00881549297255577
"2024-06-01",0.00289527081803623
"2024-09-01",0.00685821805013624
"2024-12-01",0.00802209650973544
"2025-02-01",-0.000386275024484044
